,user,user_mean_rating,user_rating_std,user_min_rating,user_max_rating,num_ratings,item_coverage,avg_item_popularity,rating_0.0_count,rating_1.0_count,rating_2.0_count,rating_3.0_count,rating_4.0_count,rating_5.0_count,label
0,100,3.147727272727273,1.1699275223378203,0.0,5.0,88,0.088,400.72727272727275,4,5,9,32,32,6,0
1,101,3.406926406926407,0.854015878451606,0.0,5.0,231,0.231,352.24675324675326,2,4,12,113,80,20,0
2,102,3.673469387755102,1.072385434287405,1.0,5.0,98,0.098,380.234693877551,0,6,8,17,48,19,0
3,103,3.0,1.2909944487358058,0.0,5.0,103,0.103,358.07766990291265,6,10,12,32,36,7,0
4,104,3.7191011235955056,0.9884418873448324,1.0,5.0,89,0.089,357.0561797752809,0,4,1,32,31,21,0
5,105,3.2601626016260163,0.8855617683002938,1.0,5.0,123,0.123,332.1219512195122,0,4,19,46,49,5,0
6,106,2.987012987012987,1.152725677111091,0.0,5.0,77,0.077,346.93506493506493,3,5,15,24,27,3,0
7,107,3.308641975308642,0.7903450824057997,1.0,5.0,162,0.162,379.91358024691357,0,2,19,76,57,8,0
8,108,3.37888198757764,0.7979982720758392,1.0,5.0,161,0.161,354.0,0,3,11,81,54,12,0
9,109,3.511111111111111,1.2120848140802265,0.0,5.0,180,0.18,385.27222222222224,2,8,28,45,52,45,0
10,110,2.8225806451612905,0.878228349789135,1.0,5.0,62,0.062,385.4193548387097,0,5,13,34,8,2,0
11,111,3.4615384615384617,0.7516008556101077,1.0,5.0,65,0.065,413.46153846153845,0,1,3,30,27,4,0
12,112,3.4049079754601226,0.6906611326266916,1.0,5.0,163,0.163,363.17791411042947,0,2,11,71,77,2,0
13,113,3.4771784232365146,0.7586294696353222,2.0,5.0,241,0.241,302.8008298755187,0,0,21,102,100,18,0
14,114,2.7874015748031495,1.3488967935613312,0.0,5.0,127,0.127,362.48818897637796,13,11,17,38,45,3,0
15,115,2.435185185185185,1.6926070592357612,0.0,5.0,108,0.108,349.1296296296296,20,15,21,17,20,15,1
16,116,3.16,1.4429699103453828,0.0,5.0,75,0.075,343.12,9,3,3,18,36,6,0
17,117,2.763888888888889,0.999902186139542,0.0,5.0,72,0.072,374.2083333333333,3,4,15,36,13,1,0
18,118,3.669724770642202,0.8846589926463538,1.0,5.0,436,0.436,254.59174311926606,0,5,34,134,190,73,0
19,119,3.5618729096989967,0.7226102739062933,2.0,5.0,299,0.299,317.96655518394647,0,0,18,118,140,23,0
20,120,4.2592592592592595,0.8482007099999648,3.0,5.0,81,0.081,429.91358024691357,0,0,0,21,18,42,0
21,121,3.2519083969465647,0.8352200212231659,1.0,5.0,131,0.131,338.5267175572519,0,3,18,59,45,6,0
22,122,3.7916666666666665,1.0206207261596576,2.0,5.0,24,0.024,392.7916666666667,0,0,2,9,5,8,0
23,123,3.606896551724138,0.8358009442390005,1.0,5.0,145,0.145,392.2413793103448,0,2,8,54,62,19,0
24,124,3.0892448512585813,1.2148917824733874,0.0,5.0,437,0.437,271.6178489702517,13,32,73,161,101,57,0
25,125,3.6164383561643834,0.7570068432521554,2.0,5.0,73,0.073,361.958904109589,0,0,2,34,27,10,0
26,126,4.333333333333333,0.7844645405527363,3.0,5.0,27,0.027,452.85185185185185,0,0,0,5,8,14,0
27,127,2.8944099378881987,1.1579468588845607,0.0,5.0,322,0.322,281.19565217391306,1,33,96,94,65,33,0
28,128,3.2070175438596493,0.8736880807056862,1.0,5.0,285,0.285,297.7263157894737,0,7,46,131,83,18,0
29,129,3.5058823529411764,0.9209664878314973,2.0,5.0,85,0.085,403.90588235294115,0,0,12,31,29,13,0
30,130,2.6865203761755487,0.8266594795854917,0.0,5.0,638,0.638,239.35423197492162,8,32,197,324,69,8,0
31,131,3.5220125786163523,0.6544538547079104,1.0,5.0,159,0.159,268.0,0,1,6,66,81,5,0
32,132,4.0,0.587220219514703,2.0,5.0,59,0.059,372.3728813559322,0,0,1,7,42,9,0
33,133,2.522727272727273,1.1908300088327366,1.0,5.0,44,0.044,456.72727272727275,0,12,9,12,10,1,0
34,134,4.087719298245614,0.6347300256910686,3.0,5.0,57,0.057,420.280701754386,0,0,0,9,34,14,0
35,135,3.301470588235294,0.753459703669988,1.0,5.0,136,0.136,375.63235294117646,0,2,11,74,42,7,0
36,136,3.982608695652174,1.1621411628454876,1.0,5.0,115,0.115,335.67826086956524,0,7,8,12,41,47,0
37,137,3.568093385214008,1.1609841692482876,1.0,5.0,257,0.257,306.3463035019455,0,16,31,63,85,62,0
38,138,4.0,0.5685352436149612,3.0,5.0,100,0.1,310.68,0,0,0,16,68,16,0
39,139,3.138,1.0281391638686668,1.0,5.0,500,0.5,258.682,0,32,101,170,160,37,0
40,140,4.25,0.6660795536803282,2.0,5.0,72,0.072,363.90277777777777,0,0,1,6,39,26,0
41,141,3.5404699738903394,0.6034861970788225,2.0,4.0,383,0.383,299.7154046997389,0,0,22,132,229,0,0
42,142,4.248484848484848,0.8931040731290856,0.0,5.0,165,0.165,310.6969696969697,1,2,4,16,67,75,0
43,143,3.8045977011494254,0.7126609236429878,2.0,5.0,87,0.087,412.60919540229884,0,0,2,26,46,13,0
44,144,3.563876651982379,0.8719416552755525,1.0,5.0,227,0.227,297.74449339207047,0,5,21,64,115,22,0
45,145,4.086021505376344,1.0596955467049982,1.0,5.0,93,0.093,397.0752688172043,0,4,4,12,33,40,0
46,146,2.892857142857143,1.865266945833968,0.0,5.0,56,0.056,393.1607142857143,10,5,6,13,4,18,0
47,147,2.9565217391304346,1.1146802578742867,1.0,4.0,46,0.046,360.8478260869565,0,7,8,11,20,0,1
48,148,3.742424242424242,0.8997539161110163,0.0,5.0,66,0.066,374.3181818181818,1,0,5,12,39,9,0
49,149,3.0194805194805197,0.8591740920983721,0.0,5.0,154,0.154,337.07142857142856,1,6,27,79,37,4,0
50,150,3.5851063829787235,0.8218726907153964,1.0,5.0,94,0.094,329.90425531914894,0,1,4,41,35,13,0
51,151,3.223076923076923,1.1564807925315204,0.0,5.0,130,0.13,345.4769230769231,2,11,20,30,57,10,0
52,152,3.338582677165354,1.3756411056098787,0.0,5.0,127,0.127,328.70866141732284,2,14,22,19,41,29,0
53,153,3.1320754716981134,0.9469295915709006,0.0,5.0,106,0.106,367.42452830188677,2,2,21,38,41,2,0
54,154,4.075949367088608,0.818140689920005,2.0,5.0,158,0.158,384.88607594936707,0,0,6,29,70,53,0
55,155,4.3625,0.6607197839564004,3.0,5.0,80,0.08,395.75,0,0,0,8,35,37,0
56,156,4.337349397590361,0.7922575201508172,1.0,5.0,249,0.249,275.0522088353414,0,3,5,17,104,120,0
